Profundidade,qT,fS,u2,gw ,gnat ,u0,sv0,s'v0,FILE,CPTU,class_Rob
0.493,65.92,1.937,15.073,9.81,12.28,1.30473,6.05404,4.74931,1,2,4
0.515,63.271,2.533,17.343,9.81,12.28,1.52055,6.3242,4.80365,1,2,4
0.537,60.477,2.905,19.068,9.81,12.28,1.73637,6.59436,4.85799,1,2,4
0.56,59.796,2.942,16.526,9.81,12.28,1.962,6.8768,4.9148,1,2,4
0.571,59.917,2.98,16.98,9.81,12.28,2.06991,7.01188,4.94197,1,2,4
0.593,60.355,2.98,18.614,9.81,12.28,2.28573,7.28204,4.99631,1,2,4
0.615,66.723,2.868,18.069,9.81,12.28,2.50155,7.5522,5.05065,1,2,4
0.637,63.417,2.719,17.888,9.81,12.28,2.71737,7.82236,5.10499,1,2,4
0.659,63.15,2.607,16.889,9.81,12.28,2.93319,8.09252,5.15933,1,2,4
0.682,62.858,2.607,15.799,9.81,12.28,3.15882,8.37496,5.21614,1,2,4
0.704,66.115,2.607,15.799,9.81,12.28,3.37464,8.64512,5.27048,1,2,4
0.726,72.726,2.719,16.162,9.81,12.28,3.59046,8.91528,5.32482,1,2,4
0.737,73.938,2.905,8.535,9.81,12.28,3.69837,9.05036,5.35199,1,2,5
0.759,64.606,2.607,10.17,9.81,12.28,3.91419,9.32052,5.40633,1,2,5
0.774,72.044,3.427,13.62,9.81,12.28,4.06134,9.50472,5.44338,1,2,5
0.796,68.617,3.836,12.984,9.81,12.28,4.27716,9.77488,5.49772,1,2,5
0.818,69.128,4.32,14.891,9.81,12.28,4.49298,10.04504,5.55206,1,2,4
0.84,66.212,4.693,16.162,9.81,12.28,4.7088,10.3152,5.6064,1,2,4
0.862,65.287,4.879,12.712,9.81,12.28,4.92462,10.58536,5.66074,1,2,4
0.885,65.166,4.991,12.258,9.81,12.28,5.15025,10.8678,5.71755,1,2,4
0.896,68.641,4.991,13.075,9.81,12.28,5.25816,11.00288,5.74472,1,2,4
0.919,68.958,4.73,14.256,9.81,12.28,5.48379,11.28532,5.80153,1,2,4
0.94,65.458,4.432,13.348,9.81,12.28,5.6898,11.5432,5.8534,1,2,4
0.962,64.898,4.134,11.259,9.81,12.28,5.90562,11.81336,5.90774,1,2,4
0.984,65.823,4.022,14.71,9.81,12.28,6.12144,12.08352,5.96208,1,2,4
1,53.087,2.346,15.799,9.81,12.28,6.2784,12.28,6.0016,1,2,4
1.006,57.561,2.905,20.339,9.81,12.28,6.33726,12.35368,6.01642,1,2,4
1.015,68.179,4.323,11.35,9.81,12.28,6.42555,12.4642,6.03865,1,2,5
1.037,69.298,3.951,15.527,9.81,12.28,6.64137,12.73436,6.09299,1,2,4
1.049,75.788,3.69,15.436,9.81,12.28,6.75909,12.88172,6.12263,1,2,5
1.071,73.504,3.467,19.068,9.81,12.28,6.97491,13.15188,6.17697,1,2,4
1.093,78.632,3.281,13.892,9.81,12.28,7.19073,13.42204,6.23131,1,2,5
1.114,87.02,3.169,20.884,9.81,12.28,7.39674,13.67992,6.28318,1,2,4
1.136,82.039,3.132,26.604,9.81,12.28,7.61256,13.95008,6.33752,1,2,4
1.159,82.96,3.132,17.888,9.81,12.28,7.83819,14.23252,6.39433,1,2,5
1.182,82.205,3.132,15.073,9.81,12.28,8.06382,14.51496,6.45114,1,2,5
1.204,88.744,3.057,15.164,9.81,12.28,8.27964,14.78512,6.50548,1,2,5
1.214,92.439,3.169,16.798,9.81,12.28,8.37774,14.90792,6.53018,1,2,5
1.236,106.782,3.243,21.701,9.81,12.28,8.59356,15.17808,6.58452,1,2,5
1.258,105.277,3.281,28.239,9.81,12.28,8.80938,15.44824,6.63886,1,2,5
1.281,119.425,3.392,32.416,9.81,12.28,9.03501,15.73068,6.69567,1,2,5
1.304,141.374,3.578,29.238,9.81,12.28,9.26064,16.01312,6.75248,1,2,5
1.325,139.403,3.616,21.883,9.81,12.28,9.46665,16.271,6.80435,1,2,5
1.347,140.783,3.765,2.724,9.81,12.28,9.68247,16.54116,6.85869,1,2,5
1.37,165.363,4.51,21.52,9.81,12.28,9.9081,16.8236,6.9155,1,2,5
1.381,183.231,5.292,27.422,9.81,12.28,10.01601,16.95868,6.94267,1,2,5
1.404,207.926,6.298,22.337,9.81,12.28,10.24164,17.24112,6.99948,1,2,5
1.426,260.962,7.378,13.62,9.81,12.28,10.45746,17.51128,7.05382,1,2,6
1.448,334.949,9.166,-1.998,9.81,12.28,10.67328,17.78144,7.10816,1,2,6
1.47,286.29,11.55,10.896,9.81,12.28,10.8891,18.0516,7.1625,1,2,6
1.492,311.934,11.885,9.352,9.81,12.28,11.10492,18.32176,7.21684,1,2,6
1.515,282.789,11.959,9.988,9.81,12.28,11.33055,18.6042,7.27365,1,2,6
1.538,165.019,12.071,8.081,9.81,12.28,11.55618,18.88664,7.33046,1,2,5
1.56,149.219,12.444,9.897,9.81,12.28,11.772,19.1568,7.3848,1,2,5
1.571,165.777,10.954,23.063,9.81,12.28,11.87991,19.29188,7.41197,1,2,5
1.593,173.265,8.644,26.695,9.81,12.28,12.09573,19.56204,7.46631,1,2,5
1.616,172.58,6.968,11.986,9.81,12.28,12.32136,19.84448,7.52312,1,2,5
1.639,167.372,5.59,-7.446,9.81,12.28,12.54699,20.12692,7.57993,1,2,6
1.661,180.887,4.882,-5.63,9.81,12.28,12.76281,20.39708,7.63427,1,2,6
1.683,209.862,5.59,-6.901,9.81,12.28,12.97863,20.66724,7.68861,1,2,6
1.705,140.755,5.478,-9.534,9.81,12.28,13.19445,20.9374,7.74295,1,2,5
1.727,131.956,5.702,-5.902,9.81,12.28,13.41027,21.20756,7.79729,1,2,5
1.739,143.407,5.813,0.363,9.81,12.28,13.52799,21.35492,7.82693,1,2,5
1.761,135.558,5.478,7.536,9.81,12.28,13.74381,21.62508,7.88127,1,2,5
1.783,183.005,5.217,2.27,9.81,12.28,13.95963,21.89524,7.93561,1,2,5
1.805,168.373,4.547,8.444,9.81,12.28,14.17545,22.1654,7.98995,1,2,5
1.827,163.708,4.137,15.345,9.81,12.28,14.39127,22.43556,8.04429,1,2,5
1.85,145.597,3.616,8.535,9.81,12.28,14.6169,22.718,8.1011,1,2,5
1.873,137.233,3.281,1.634,9.81,12.28,14.84253,23.00044,8.15791,1,2,5
1.895,112.441,2.983,6.356,9.81,12.28,15.05835,23.2706,8.21225,1,2,5
1.906,85.365,2.536,14.71,9.81,12.28,15.16626,23.40568,8.23942,1,2,5
1.928,86.825,2.387,20.158,9.81,12.28,15.38208,23.67584,8.29376,1,2,4
1.95,84.419,2.235,23.336,9.81,12.28,15.5979,23.946,8.3481,1,2,4
1.973,88.917,2.011,27.966,9.81,12.28,15.82353,24.22844,8.40491,1,2,4
1.996,93.538,1.977,33.051,9.81,12.28,16.04916,24.51088,8.46172,1,2,4
2.015,69.131,1.157,27.058,9.81,12.28,16.23555,24.7442,8.50865,1,2,3
2.025,118.786,2.249,29.964,9.81,12.28,16.33365,24.867,8.53335,1,2,4
2.048,131.625,2.622,29.238,9.81,12.28,16.55928,25.14944,8.59016,1,2,5
2.071,107.526,2.696,24.425,9.81,12.28,16.78491,25.43188,8.64697,1,2,5
2.082,106.263,2.808,31.871,9.81,12.28,16.89282,25.56696,8.67414,1,2,4
2.104,89.897,2.808,31.598,9.81,12.28,17.10864,25.83712,8.72848,1,2,4
2.126,84.037,2.733,34.05,9.81,12.28,17.32446,26.10728,8.78282,1,2,4
2.148,80.997,2.696,34.867,9.81,12.28,17.54028,26.37744,8.83716,1,2,4
2.171,81.289,2.435,35.957,9.81,12.28,17.76591,26.65988,8.89397,1,2,4
2.193,79.199,2.249,40.315,9.81,12.28,17.98173,26.93004,8.94831,1,2,3
2.215,83.528,2.137,44.31,9.81,12.28,18.19755,27.2002,9.00265,1,2,3
2.237,87.492,1.988,46.944,9.81,12.28,18.41337,27.47036,9.05699,1,2,3
2.248,95.348,1.914,51.938,9.81,12.28,18.52128,27.60544,9.08416,1,2,3
2.27,95.275,1.914,51.665,9.81,12.28,18.7371,27.8756,9.1385,1,2,3
2.293,120.202,1.876,59.565,9.81,12.28,18.96273,28.15804,9.19531,1,2,4
2.316,158.377,1.839,43.947,9.81,12.28,19.18836,28.44048,9.25212,1,2,4
2.338,179.336,1.764,24.879,9.81,12.28,19.40418,28.71064,9.30646,1,2,5
2.36,219.217,1.988,27.785,9.81,12.28,19.62,28.9808,9.3608,1,2,5
2.382,192.175,2.472,24.153,9.81,12.28,19.83582,29.25096,9.41514,1,2,5
2.405,208.178,2.472,35.23,9.81,12.28,20.06145,29.5334,9.47195,1,2,5
2.416,203.776,2.808,30.963,9.81,12.28,20.16936,29.66848,9.49912,1,2,5
2.439,161.755,2.808,32.234,9.81,12.28,20.39499,29.95092,9.55593,1,2,5
2.46,201.055,2.957,45.128,9.81,12.28,20.601,30.2088,9.6078,1,2,5
2.482,184.081,2.771,42.585,9.81,12.28,20.81682,30.47896,9.66214,1,2,5
2.505,163.191,2.845,37.591,9.81,11.9,21.04245,30.75266,9.71021,1,2,5
2.528,450.626,3.739,40.134,9.81,11.9,21.26808,31.02636,9.75828,1,2,5
2.551,480.581,3.777,18.16,9.81,11.9,21.49371,31.30006,9.80635,1,2,6
2.573,452.057,4.187,21.156,9.81,11.9,21.70953,31.56186,9.85233,1,2,6
2.595,385.015,3.777,26.332,9.81,11.9,21.92535,31.82366,9.89831,1,2,5
2.617,226.732,6.087,31.508,9.81,11.9,22.14117,32.08546,9.94429,1,2,5
2.629,245.75,5.677,41.677,9.81,11.9,22.25889,32.22826,9.96937,1,2,5
2.652,242.881,6.944,43.13,9.81,11.9,22.48452,32.50196,10.01744,1,2,5
2.674,257.594,6.981,49.395,9.81,11.9,22.70034,32.76376,10.06342,1,2,5
2.695,257.108,8.211,47.579,9.81,11.9,22.90635,33.01366,10.10731,1,2,5
2.718,229.723,9.18,30.509,9.81,11.9,23.13198,33.28736,10.15538,1,2,5
2.741,212.362,9.292,38.681,9.81,11.9,23.35761,33.56106,10.20345,1,2,5
2.764,195.268,8.956,47.852,9.81,11.9,23.58324,33.83476,10.25152,1,2,5
2.775,206.431,7.69,53.027,9.81,11.9,23.69115,33.96566,10.27451,1,2,5
2.797,318.512,7.28,57.84,9.81,11.9,23.90697,34.22746,10.32049,1,2,5
2.819,479.703,7.801,2.724,9.81,11.9,24.12279,34.48926,10.36647,1,2,6
2.842,441.866,6.907,7.446,9.81,11.9,24.34842,34.76296,10.41454,1,2,6
2.865,328.285,6.162,45.672,9.81,11.9,24.57405,35.03666,10.46261,1,2,5
2.887,246.797,6.05,45.582,9.81,11.9,24.78987,35.29846,10.50859,1,2,5
2.909,251.347,6.311,62.561,9.81,11.9,25.00569,35.56026,10.55457,1,2,5
2.931,452.93,7.618,60.745,9.81,11.9,25.22151,35.82206,10.60055,1,2,5
2.954,307.324,6.91,52.482,9.81,11.9,25.44714,36.09576,10.64862,1,2,5
2.965,260.63,7.469,60.654,9.81,11.9,25.55505,36.22666,10.67161,1,2,5
2.988,460.616,8.55,65.104,9.81,11.9,25.78068,36.50036,10.71968,1,2,5
3.01,433.642,6.836,49.577,9.81,11.9,25.9965,36.76216,10.76566,1,2,5
3.02,545.242,16.078,16.072,9.81,11.9,26.0946,36.88116,10.78656,1,2,6
3.043,587.198,13.73,38.862,9.81,11.9,26.32023,37.15486,10.83463,1,2,6
3.066,406.669,13.171,34.05,9.81,11.9,26.54586,37.42856,10.8827,1,2,6
3.088,889.228,17.979,22.791,9.81,11.9,26.76168,37.69036,10.92868,1,2,6
3.11,1016.127,18.538,-2.27,9.81,11.9,26.9775,37.95216,10.97466,1,2,6
3.121,708.794,14.848,6.174,9.81,11.9,27.08541,38.08306,10.99765,1,2,6
3.143,640.462,23.271,55.206,9.81,11.9,27.30123,38.34486,11.04363,1,2,6
3.166,809.943,17.42,18.796,9.81,11.9,27.52686,38.61856,11.0917,1,2,6
3.189,860.798,16.227,26.15,9.81,11.9,27.75249,38.89226,11.13977,1,2,6
3.212,766.316,20.662,38.408,9.81,11.9,27.97812,39.16596,11.18784,1,2,6
3.234,858.707,23.346,30.509,9.81,11.9,28.19394,39.42776,11.23382,1,2,6
3.256,781.371,24.277,45.945,9.81,11.9,28.40976,39.68956,11.2798,1,2,6
3.272,595.782,19.172,34.413,9.81,11.9,28.56672,39.87996,11.31324,1,2,6
3.28,1628.241,10.939,7.173,9.81,11.9,28.6452,39.97516,11.32996,1,2,6
3.303,1778.308,12.017,-3.269,9.81,11.9,28.87083,40.24886,11.37803,1,2,6
3.326,1648.453,17.634,-2.361,9.81,11.9,29.09646,40.52256,11.4261,1,2,6
3.348,1905.778,24.44,-13.075,9.81,11.9,29.31228,40.78436,11.47208,1,2,6
3.359,1343.055,26.858,-13.257,9.81,11.9,29.42019,40.91526,11.49507,1,2,6
3.383,2728.146,47.91,-2.815,9.81,11.9,29.65563,41.20086,11.54523,1,2,7
3.406,6353.117,30.826,-15.708,9.81,11.9,29.88126,41.47456,11.5933,1,2,7
3.428,8643.888,29.296,-30.963,9.81,11.9,30.09708,41.73636,11.63928,1,2,6
3.451,8362.914,20.265,-39.226,9.81,11.9,30.32271,42.01006,11.68735,1,2,6
3.475,2139.208,42.108,-3.723,9.81,11.9,30.55815,42.29566,11.73751,1,2,7
3.498,726.719,140.078,-7.173,9.81,11.9,30.78378,42.56936,11.78558,1,2,6
3.51,695.047,150.12,-3.995,9.81,11.9,30.9015,42.71216,11.81066,1,2,6
3.533,449.685,156.927,2.815,9.81,11.9,31.12713,42.98586,11.85873,1,2,6
3.555,300.706,151.478,5.266,9.81,11.9,31.34295,43.24766,11.90471,1,2,5
3.578,395.367,135.8,6.447,9.81,11.9,31.56858,43.52136,11.95278,1,2,5
3.601,519.325,130.407,7.809,9.81,11.9,31.79421,43.79506,12.00085,1,2,6
3.624,441.68,18.675,9.352,9.81,11.9,32.01984,44.06876,12.04892,1,2,6
3.648,507.167,15.774,10.987,9.81,11.9,32.25528,44.35436,12.09908,1,2,6
3.67,572.557,13.988,12.258,9.81,11.9,32.4711,44.61616,12.14506,1,2,6
3.692,563.165,12.464,13.62,9.81,11.9,32.68692,44.87796,12.19104,1,2,6
3.704,609.04,12.687,14.891,9.81,11.9,32.80464,45.02076,12.21612,1,2,6
3.727,674.381,14.323,15.981,9.81,11.9,33.03027,45.29446,12.26419,1,2,6
3.75,837.222,15.551,16.798,9.81,11.9,33.2559,45.56816,12.31226,1,2,6
3.773,898.97,18.452,16.616,9.81,11.9,33.48153,45.84186,12.36033,1,2,6
3.795,820.377,21.725,51.03,9.81,11.9,33.69735,46.10366,12.40631,1,2,6
3.818,649.205,27.676,43.402,9.81,11.9,33.92298,46.37736,12.45438,1,2,6
3.841,782.556,33.441,43.402,9.81,11.9,34.14861,46.65106,12.50245,1,2,6
3.865,750.996,33.702,34.867,9.81,11.9,34.38405,46.93666,12.55261,1,2,6
3.877,799.718,34.371,46.762,9.81,11.9,34.50177,47.07946,12.57769,1,2,6
3.899,693.418,30.986,62.743,9.81,11.9,34.71759,47.34126,12.62367,1,2,6
3.922,761.184,31.247,60.745,9.81,11.9,34.94322,47.61496,12.67174,1,2,6
3.945,670.642,21.576,50.576,9.81,11.9,35.16885,47.88866,12.71981,1,2,6
3.968,736.056,18.749,51.938,9.81,11.9,35.39448,48.16236,12.76788,1,2,6
3.992,647.737,16.406,62.198,9.81,11.9,35.62992,48.44796,12.81804,1,2,6
4.014,583.005,16.183,63.378,9.81,11.9,35.84574,48.70976,12.86402,1,2,6
4.032,462.81,13.691,63.923,9.81,11.9,36.02232,48.92396,12.90164,1,2,5
4.032,397.907,13.393,64.468,9.81,11.9,36.02232,48.92396,12.90164,1,2,5
4.032,388.223,13.17,64.74,9.81,11.9,36.02232,48.92396,12.90164,1,2,5
4.032,375.383,12.835,65.376,9.81,11.9,36.02232,48.92396,12.90164,1,2,5
4.032,365.772,12.575,65.921,9.81,11.9,36.02232,48.92396,12.90164,1,2,5
4.032,365.942,12.464,66.556,9.81,11.9,36.02232,48.92396,12.90164,1,2,5
4.032,362.836,12.278,67.101,9.81,11.9,36.02232,48.92396,12.90164,1,2,5
4.035,102.957,12.278,104.692,9.81,11.9,36.05175,48.95966,12.90791,1,2,2
4.042,679.882,13.17,109.323,9.81,11.9,36.12042,49.04296,12.92254,1,2,6
4.064,704.263,14.435,91.072,9.81,11.9,36.33624,49.30476,12.96852,1,2,6
4.087,811.35,17.224,90.164,9.81,11.9,36.56187,49.57846,13.01659,1,2,6
4.109,731.166,17.336,70.098,9.81,11.9,36.77769,49.84026,13.06257,1,2,6
4.131,715.942,18.303,61.835,9.81,11.9,36.99351,50.10206,13.10855,1,2,6
4.154,691.796,16.518,68.826,9.81,11.9,37.21914,50.37576,13.15662,1,2,6
4.177,796.166,18.712,69.916,9.81,11.9,37.44477,50.64946,13.20469,1,2,6
4.2,829.875,18.563,62.198,9.81,11.9,37.6704,50.92316,13.25276,1,2,6
4.211,618.319,17.634,61.653,9.81,11.9,37.77831,51.05406,13.27575,1,2,6
4.233,563.076,17.82,61.835,9.81,11.9,37.99413,51.31586,13.32173,1,2,6
4.256,524.242,15.811,62.561,9.81,11.9,38.21976,51.58956,13.3698,1,2,6
4.279,508.417,13.803,64.196,9.81,11.9,38.44539,51.86326,13.41787,1,2,6
4.302,544.559,11.868,65.558,9.81,11.9,38.67102,52.13696,13.46594,1,2,6
4.324,551.429,11.05,66.92,9.81,11.9,38.88684,52.39876,13.51192,1,2,6
4.347,594.052,11.571,68.191,9.81,11.9,39.11247,52.67246,13.55999,1,2,6
4.369,656.213,11.868,69.553,9.81,11.9,39.32829,52.93426,13.60597,1,2,6
4.381,803.109,12.687,71.55,9.81,11.9,39.44601,53.07706,13.63105,1,2,6
4.404,1213.672,13.803,74.365,9.81,11.9,39.67164,53.35076,13.67912,1,2,6
4.427,1639.963,17.224,75.182,9.81,11.9,39.89727,53.62446,13.72719,1,2,6
4.449,1981.818,17.857,52.21,9.81,11.9,40.11309,53.88626,13.77317,1,2,6
4.471,2087.771,17.038,59.202,9.81,11.9,40.32891,54.14806,13.81915,1,2,6
4.494,2119.444,18.452,56.024,9.81,11.9,40.55454,54.42176,13.86722,1,2,6
4.517,2105.85,21.018,53.844,9.81,12.41,40.78017,54.70719,13.92702,1,2,6
4.54,1958.394,24.849,49.758,9.81,12.41,41.0058,54.99262,13.98682,1,2,6
4.552,1620.894,25.965,52.573,9.81,12.41,41.12352,55.14154,14.01802,1,2,6
4.574,1452.813,27.341,56.478,9.81,12.41,41.33934,55.41456,14.07522,1,2,6
4.597,1326.283,30.54,57.658,9.81,12.41,41.56497,55.69999,14.13502,1,2,6
4.62,1377.09,27.899,65.194,9.81,12.41,41.7906,55.98542,14.19482,1,2,6
4.643,1442.455,24.7,66.375,9.81,12.41,42.01623,56.27085,14.25462,1,2,6
4.665,1611.388,22.022,65.648,9.81,12.41,42.23205,56.54387,14.31182,1,2,6
4.688,1643.766,19.716,65.104,9.81,12.41,42.45768,56.8293,14.37162,1,2,6
4.71,1563.769,16.369,70.007,9.81,12.41,42.6735,57.10232,14.42882,1,2,6
4.734,1535.422,15.923,73.457,9.81,12.41,42.90894,57.40016,14.49122,1,2,6
4.745,1480.568,16.481,75.092,9.81,12.41,43.01685,57.53667,14.51982,1,2,6
4.768,1419.185,18.005,76.635,9.81,12.41,43.24248,57.8221,14.57962,1,2,6
4.79,1529.55,18.638,75.818,9.81,12.41,43.4583,58.09512,14.63682,1,2,6
4.813,1736.685,19.27,72.004,9.81,12.41,43.68393,58.38055,14.69662,1,2,6
4.836,1810.217,20.014,55.116,9.81,12.41,43.90956,58.66598,14.75642,1,2,6
4.859,1580.583,15.923,59.928,9.81,12.41,44.13519,58.95141,14.81622,1,2,6
4.882,1210.509,14.323,62.561,9.81,12.41,44.36082,59.23684,14.87602,1,2,6
4.904,961.409,14.584,67.555,9.81,12.41,44.57664,59.50986,14.93322,1,2,6
4.915,839.178,15.96,72.64,9.81,12.41,44.68455,59.64637,14.96182,1,2,6
4.938,748.499,17.782,74.093,9.81,12.41,44.91018,59.9318,15.02162,1,2,6
4.961,708.091,17.41,81.084,9.81,12.41,45.13581,60.21723,15.08142,1,2,6
4.985,636.074,15.253,79.359,9.81,12.41,45.37125,60.51507,15.14382,1,2,6
5.007,583.548,14.584,77.543,9.81,12.41,45.58707,60.78809,15.20102,1,2,5
5.029,541.51,12.687,78.451,9.81,12.41,45.80289,61.06111,15.25822,1,2,5
5.034,369.13,10.418,78.451,9.81,12.41,45.85194,61.12316,15.27122,1,2,5
5.037,274.856,6.323,102.967,9.81,12.41,45.88137,61.16039,15.27902,1,2,4
5.06,568.105,12.088,105.056,9.81,12.41,46.107,61.44582,15.33882,1,2,5
5.082,571.698,12.906,106.327,9.81,12.41,46.32282,61.71884,15.39602,1,2,5
5.104,549.883,13.427,109.868,9.81,12.41,46.53864,61.99186,15.45322,1,2,5
5.127,514.231,13.873,110.322,9.81,12.41,46.76427,62.27729,15.51302,1,2,5
5.15,543.719,15.77,111.139,9.81,12.41,46.9899,62.56272,15.57282,1,2,5
5.161,573.158,15.77,111.775,9.81,12.41,47.09781,62.69923,15.60142,1,2,5
5.184,609.102,16.699,112.41,9.81,12.41,47.32344,62.98466,15.66122,1,2,5
5.206,716.689,17.889,113.409,9.81,12.41,47.53926,63.25768,15.71842,1,2,6
5.228,918.247,18.075,113.137,9.81,12.41,47.75508,63.5307,15.77562,1,2,6
5.251,843.692,16.104,114.045,9.81,12.41,47.98071,63.81613,15.83542,1,2,6
5.272,830.903,11.195,114.862,9.81,12.41,48.18672,64.07674,15.89002,1,2,6
5.276,1195.682,12.812,82.628,9.81,12.41,48.22596,64.12638,15.90042,1,2,6
5.288,1598.842,16.682,82.446,9.81,12.41,48.34368,64.2753,15.93162,1,2,6
5.311,1935.175,18.871,52.392,9.81,12.41,48.56931,64.56073,15.99142,1,2,6
5.333,2142.131,21.51,48.396,9.81,12.41,48.78513,64.83375,16.04862,1,2,6
5.355,2342.148,24.521,42.767,9.81,12.41,49.00095,65.10677,16.10582,1,2,6
5.379,2302.413,26.119,40.043,9.81,12.41,49.23639,65.40461,16.16822,1,2,6
5.402,2059.251,25.009,41.586,9.81,12.41,49.46202,65.69004,16.22802,1,2,6
5.413,1744.314,24.409,43.675,9.81,12.41,49.56993,65.82655,16.25662,1,2,6
5.436,1498.134,23.22,46.853,9.81,12.41,49.79556,66.11198,16.31642,1,2,6
5.458,1217.392,20.506,54.48,9.81,12.41,50.01138,66.385,16.37362,1,2,6
5.481,1036.268,19.242,57.84,9.81,12.41,50.23701,66.67043,16.43342,1,2,6
5.505,877.144,18.796,58.384,9.81,12.41,50.47245,66.96827,16.49582,1,2,6
5.528,754.476,21.18,61.29,9.81,12.41,50.69808,67.2537,16.55562,1,2,6
5.55,641.25,21.659,63.56,9.81,12.41,50.9139,67.52672,16.61282,1,2,6
5.572,501.482,20.581,63.56,9.81,12.41,51.12972,67.79974,16.67002,1,2,5
5.583,511.098,18.908,75.182,9.81,12.41,51.23763,67.93625,16.69862,1,2,5
5.607,505.619,16.715,78.996,9.81,12.41,51.47307,68.23409,16.76102,1,2,5
5.63,507.064,15.009,72.095,9.81,12.41,51.6987,68.51952,16.82082,1,2,5
5.653,695.558,15.005,60.019,9.81,12.41,51.92433,68.80495,16.88062,1,2,6
5.675,780.949,14.596,39.044,9.81,12.41,52.14015,69.07797,16.93782,1,2,6
5.697,575.641,13.704,12.803,9.81,12.41,52.35597,69.35099,16.99502,1,2,6
5.721,592.209,18.796,13.983,9.81,12.41,52.59141,69.64883,17.05742,1,2,6
5.744,412.925,16.826,12.076,9.81,12.41,52.81704,69.93426,17.11722,1,2,6
5.767,439.512,21.287,14.256,9.81,12.41,53.04267,70.21969,17.17702,1,2,6
5.778,420.01,19.614,14.256,9.81,12.41,53.15058,70.3562,17.20562,1,2,6
5.8,377.827,19.354,14.528,9.81,12.41,53.3664,70.62922,17.26282,1,2,5
5.823,722.372,22.514,14.528,9.81,12.41,53.59203,70.91465,17.32262,1,2,6
5.847,847.748,19.131,33.596,9.81,12.41,53.82747,71.21249,17.38502,1,2,6
5.87,971.556,14.038,34.686,9.81,12.41,54.0531,71.49792,17.44482,1,2,6
5.892,740.07,8.834,32.052,9.81,12.41,54.26892,71.77094,17.50202,1,2,6
5.914,789.143,10.582,33.233,9.81,12.41,54.48474,72.04396,17.55922,1,2,6
5.925,1092.21,20.172,36.138,9.81,12.41,54.59265,72.18047,17.58782,1,2,6
5.949,426.149,18.425,73.548,9.81,12.41,54.82809,72.47831,17.65022,1,2,5
5.972,436.519,14.931,87.985,9.81,12.41,55.05372,72.76374,17.71002,1,2,5
5.982,338.982,13.369,87.894,9.81,12.41,55.15182,72.88784,17.73602,1,2,5
5.988,429.347,11.362,97.61,9.81,12.41,55.21068,72.9623,17.75162,1,2,5
6,398.025,10.619,89.892,9.81,12.41,55.3284,73.11122,17.78282,1,2,5
6.023,401.835,10.693,91.98,9.81,12.41,55.55403,73.39665,17.84262,1,2,5
6.046,450.737,10.805,92.525,9.81,12.41,55.77966,73.68208,17.90242,1,2,5
6.068,386.681,9.912,71.823,9.81,12.41,55.99548,73.9551,17.95962,1,2,5
6.079,431.53,9.243,69.371,9.81,12.41,56.10339,74.09161,17.98822,1,2,5
6.101,474.822,8.872,61.108,9.81,12.41,56.31921,74.36463,18.04542,1,2,5
6.124,588.611,8.537,61.199,9.81,12.41,56.54484,74.65006,18.10522,1,2,5
6.147,601.758,8.983,61.744,9.81,12.41,56.77047,74.93549,18.16502,1,2,5
6.169,571.813,10.433,47.034,9.81,12.41,56.98629,75.20851,18.22222,1,2,5
6.192,519.636,10.359,46.399,9.81,12.41,57.21192,75.49394,18.28202,1,2,5
6.214,370.287,10.135,47.034,9.81,12.41,57.42774,75.76696,18.33922,1,2,5
6.236,923.053,10.805,47.761,9.81,12.41,57.64356,76.03998,18.39642,1,2,6
6.248,1196.363,11.92,0.272,9.81,12.41,57.76128,76.1889,18.42762,1,2,6
6.271,358.947,22.105,4.722,9.81,12.41,57.98691,76.47433,18.48742,1,2,5
6.293,326.564,20.172,5.176,9.81,12.41,58.20273,76.74735,18.54462,1,2,5
6.316,346.164,19.242,5.539,9.81,12.41,58.42836,77.03278,18.60442,1,2,5
6.338,759.065,31.249,5.902,9.81,12.41,58.64418,77.3058,18.66162,1,2,6
6.361,963.963,34.445,6.356,9.81,12.41,58.86981,77.59123,18.72142,1,2,6
6.384,1016.116,34.706,6.901,9.81,12.41,59.09544,77.87666,18.78122,1,2,6
6.407,1331.504,30.691,7.264,9.81,12.41,59.32107,78.16209,18.84102,1,2,6
6.418,1468.265,16.046,8.172,9.81,12.41,59.42898,78.2986,18.86962,1,2,6
6.44,1501.061,21.287,9.262,9.81,12.41,59.6448,78.57162,18.92682,1,2,6
6.462,1565.618,33.442,19.704,9.81,12.41,59.86062,78.84464,18.98402,1,2,6
6.486,1560.334,48.199,24.244,9.81,12.41,60.09606,79.14248,19.04642,1,2,6
6.509,1443.343,67.045,24.334,9.81,12.2,60.32169,79.42308,19.10139,1,2,6
6.531,1361.62,83.14,22.609,9.81,12.2,60.53751,79.69148,19.15397,1,2,6
6.553,1377.58,95.481,21.52,9.81,12.2,60.75333,79.95988,19.20655,1,2,6
6.576,1351.577,108.639,21.52,9.81,12.2,60.97896,80.24048,19.26152,1,2,6
6.599,1319.121,113.732,21.701,9.81,12.2,61.20459,80.52108,19.31649,1,2,6
6.611,1322.445,116.334,21.974,9.81,12.2,61.32231,80.66748,19.34517,1,2,6
6.634,1302.991,114.773,22.155,9.81,12.2,61.54794,80.94808,19.40014,1,2,6
6.656,1215.278,112.877,22.337,9.81,12.2,61.76376,81.21648,19.45272,1,2,6
